character_id,skill_slug,skill_name,skill_form,skill_type,skill_tag,energy_gen,skill_point_cost,wb_single,wb_aoe,wb_bounce,max_level,description
aglaea,base_meteoric_sunder,Meteoric Sunder,base,Technique,Maze ATK,0,0,60,0,0,1,"Summons the memosprite Garmentmaker and launches a forward joint attack. After entering battle, regenerates 30 Energy and deals Lightning DMG equal to 100% of Aglaea's ATK to all enemy targets. Then, randomly inflicts the ""Seam Stitch"" state on a random enemy target."
aglaea,base_dance_destined_weaveress,"Dance, Destined Weaveress",base,Ultimate,Enhance,5,0,0,0,0,15,"Summons the memosprite Garmentmaker. If Garmentmaker is already on the field, then restores its HP to max. Aglaea enters the ""Supreme Stance"" state and immediately takes action. While in ""Supreme Stance,"" Aglaea gains the SPD Boost stacks from Garmentmaker's Memosprite Talent, with each stack increasing this unit's SPD by 17.5%. Enhances Basic ATK to ""Slash by a Thousandfold Kiss,"" and cannot use Skill. Garmentmaker is immune to Crowd Control debuffs. A countdown appears in the Action Order, with its own SPD set at 100. While the countdown exists, using Ultimate again will reset the countdown. When the countdown's turn starts, Garmentmaker self-destructs. When Garmentmaker disappears, Aglaea dispels the ""Supreme Stance"" state."
aglaea,enhanced_slash_by_a_thousandfold_kiss,Slash by a Thousandfold Kiss,enhanced,Basic ATK,Blast,20,0,60,0,30,10,"Aglaea and Garmentmaker launch a Joint ATK on the target, respectively dealing Lightning DMG equal to 280% of Aglaea's ATK and 280% of Garmentmaker's ATK to the target. Also, respectively deals Lightning DMG equal to 126% of Aglaea's ATK and 126% of Garmentmaker's ATK to adjacent targets. ""Slash by a Thousandfold Kiss"" cannot recover Skill Points."
aglaea,enhanced_rise_exalted_renown,"Rise, Exalted Renown",enhanced,Skill,Restore,20,1,0,0,0,15,
anaxa,base_pain_brews_truth,"Pain, Brews Truth",base,Basic ATK,Single ATK,20,0,30,0,0,10,Deals Wind DMG equal to 140% of Anaxa's ATK to one designated enemy.
anaxa,base_fractal_exiles_fallacy,"Fractal, Exiles Fallacy",base,Skill,Bounce,6,1,30,0,0,15,"Deals Wind DMG equal to 87.5% of Anaxa's ATK to one designated enemy and additionally deals 4 instance(s) of DMG. Each instance of DMG deals Wind DMG equal to 87.5% of Anaxa's ATK to one random enemy, prioritizing Bouncing to enemy targets that have not been hit by this instance of Skill. When used, for each attackable enemy on the field, this Skill has its DMG dealt increased by 20%."
anaxa,base_tetrad_wisdom_reigns_thrice,Tetrad Wisdom Reigns Thrice,base,Talent,Impair,0,0,0,0,0,15,"Each time Anaxa lands 1 hit on enemy targets, inflicts 1 Weakness of a random Type to the targets, lasting for 3 turn(s), with priority to the Weakness Type that the target doesn't already possess. While Anaxa is on the field, inflicts the ""Qualitative Disclosure"" state on enemy targets that have at least 5 different Types of Weaknesses. Anaxa deals 36% increased DMG to targets afflicted with the ""Qualitative Disclosure"" state. In addition, after using Basic ATK or Skill on them, unleashes 1 additional instance of Skill on the targets. This additional Skill does not consume any Skill Points and cannot trigger this effect again. If the target has been defeated before the additional Skill is used, it will be cast on one random enemy instead."
anaxa,base_prism_of_the_pupil,Prism of the Pupil,base,Technique,Impair,0,0,0,0,0,1,"After using Technique, inflicts the Terrified state on enemies in a set area. Terrified enemies will flee in a direction away from Anaxa for 10 second(s). When allies enter combat via actively attacking a Terrified enemy, it will always be considered as entering battle via attacking a Weakness. After entering battle, Anaxa applies 1 Weakness of the attacker's Type to every enemy target, lasting for 3 turn(s)."
anaxa,base_sprouting_life_sculpts_earth,Sprouting Life Sculpts Earth,base,Ultimate,AoE ATK,5,0,0,60,0,15,"Inflicts the ""Sublimation"" state on all enemies, then deals Wind DMG equal to 200% of Anaxa's ATK to all enemies. In the ""Sublimation"" state, the targets will be simultaneously inflicted with Physical, Fire, Ice, Lightning, Wind, Quantum, and Imaginary Weaknesses, lasting until the start of the targets' turn. If the targets do not have Control RES, they are unable to take action in the ""Sublimation"" state."
archer,base_kanshou_and_bakuya,Kanshou and Bakuya,base,Basic ATK,Single ATK,20,0,30,0,0,9,Deals Quantum DMG equal to 130% of Archer's ATK to one designated enemy.
archer,base_caladbolg_ii_fake_spiral_sword,Caladbolg II: Fake Spiral Sword,base,Skill,Single ATK,30,2,60,0,0,15,"Enters the ""Circuit Connection"" state. Deals Quantum DMG equal to 450% of Archer's ATK to one designated enemy. After using Skill in the ""Circuit Connection"" state, the current turn does not end, and the DMG dealt by Archer's Skill increases by 120%. This effect can stack up to 2 time(s), lasting until he exits the ""Circuit Connection"" state. After actively using Skill 5 time(s) or when Skill Points are insufficient to use Skill again, exits the ""Circuit Connection"" state. After all enemy targets have been defeated in each wave, exits the ""Circuit Connection"" state."
archer,base_mind_s_eye_true,Mind's Eye (True),base,Talent,Single ATK,5,0,30,0,0,15,"After Archer's teammates attack enemy targets, Archer consumes 1 Charge and immediately launches Follow-Up ATK on the primary target, dealing Quantum DMG equal to 250% of Archer's ATK and recovering 1 Skill Point. If the target is defeated before this Follow-Up ATK is launched, the Follow-Up ATK will be directed at one random enemy instead."
archer,base_clairvoyance,Clairvoyance,base,Technique,Maze ATK,0,0,60,0,0,1,"Immediately attacks enemies. After entering combat, deals Quantum DMG equal to 200% of Archer's ATK to all enemies and gains 1 point(s) of Charge."
archer,base_unlimited_blade_works,Unlimited Blade Works,base,Ultimate,Single ATK,5,0,90,0,0,15,"Deals Quantum DMG equal to 1200% of Archer's ATK to one designated enemy and gains 2 point(s) of Charge, up to a maximum of 4."
archer,enhanced_end,End,enhanced,Skill,Enhance,0,0,0,0,0,1,"Exits ""Circuit Connection"" state and ends the turn."
argenti,base_fleeting_fragrance,Fleeting Fragrance,base,Basic ATK,Single ATK,20,0,30,0,0,10,Deals Physical DMG equal to 140% of Argenti's ATK to one designated enemy target.
argenti,base_justice_hereby_blooms,"Justice, Hereby Blooms",base,Skill,AoE ATK,30,1,0,30,0,15,Deals Physical DMG equal to 150% of Argenti's ATK to all enemies.
argenti,base_sublime_object,Sublime Object,base,Talent,Enhance,0,0,0,0,0,15,"For every enemy hit when Argenti uses his Basic Attack, Skill, or Ultimate, regenerates Argenti's Energy by 3, and grants him a stack of Apotheosis, increasing his CRIT Rate by 3.25%. This effect can stack up to 10 time(s)."
argenti,base_manifesto_of_purest_virtue,Manifesto of Purest Virtue,base,Technique,Impair,0,0,0,0,0,1,"After using the Technique, enemies in a set area are inflicted with Daze for 10 second(s). Dazed enemies will not actively attack the team. When attacking a Dazed enemy to enter combat, deals Physical DMG to all enemies equal to 80% of Argenti's ATK and regenerates his Energy by 15."
argenti,base_for_in_this_garden_supreme_beauty_bestows,"For In This Garden, Supreme Beauty Bestows",base,Ultimate,AoE ATK,5,0,0,60,0,15,Consumes 90 Energy and deals Physical DMG equal to 192% of Argenti's ATK to all enemies.
argenti,enhanced_merit_bestowed_in_my_garden,"Merit Bestowed in ""My"" Garden",enhanced,Ultimate,AoE ATK,5,0,15,60,0,15,"Consumes 180 Energy and deals Physical DMG equal to 336% of Argenti's ATK to all enemies. And further deals DMG for 6 extra time(s), with each time dealing Physical DMG equal to 114% of Argenti's ATK to a random enemy."
arlan,base_lightning_rush,Lightning Rush,base,Basic ATK,Single ATK,20,0,30,0,0,10,Deals Lightning DMG equal to 140% of Arlan's ATK to one designated enemy.
arlan,base_shackle_breaker,Shackle Breaker,base,Skill,Single ATK,30,0,60,0,0,15,"Consumes Arlan's HP equal to 15% of his Max HP to deal Lightning DMG equal to 300% of Arlan's ATK to one designated enemy. If Arlan does not have sufficient HP, his HP will be reduced to 1 after using his Skill."
arlan,base_pain_and_anger,Pain and Anger,base,Talent,Enhance,0,0,0,0,0,15,"Based on Arlan's current missing HP percentage, gains DMG bonus, up to a maximum increase of 90% DMG dealt by Arlan."
arlan,base_swift_harvest,Swift Harvest,base,Technique,Maze ATK,0,0,60,0,0,1,"Immediately attacks the enemy. After entering battle, deals Lightning DMG equal to 80% of Arlan's ATK to all enemies."
arlan,base_frenzied_punishment,Frenzied Punishment,base,Ultimate,Blast,5,0,60,0,60,15,Deals Lightning DMG equal to 384% of Arlan's ATK to one designated enemy and Lightning DMG equal to 192% of Arlan's ATK to enemies adjacent to it.
ashveil,base_talons_inculcate_decorum,Talons: Inculcate Decorum,base,Basic ATK,Single ATK,20,0,30,0,0,10,Deals Lightning DMG equal to 140% of Ashveil's ATK to one designated enemy.
ashveil,base_flog_smite_evil,Flog: Smite Evil,base,Skill,Single ATK,30,1,60,0,0,15,"Makes one designated enemy become the ""Bait,"" dealing it Lightning DMG equal to 250% of Ashveil's ATK. If the target is already the ""Bait,"" additionally deals it Lightning DMG equal to 125% of Ashveil's ATK, and recovers 1 Skill Point(s). When the ""Bait"" exists on the field, all enemies' DEF gets reduced by 50%. When there is no ""Bait"" on the field, Ashveil immediately makes the enemy target with the lowest HP on the field become the ""Bait."" The ""Bait"" state only takes effect on the most recently applied target."
ashveil,base_rancor_enmity_reprisal,Rancor: Enmity Reprisal,base,Talent,Single ATK,5,0,15,0,0,15,"Ashveil has an initial Charge of 2 and can hold up to a max of 3. After the ""Bait"" gets attacked by other ally targets, Ashveil regenerates a fixed amount of 8 Energy, then consumes 1 Charge to launch Follow-Up ATK against the ""Bait,"" dealing Lightning DMG equal to 250% of Ashveil's ATK. Afterwards, gains 2 stack(s) of ""Gluttony,"" which can stack up to 12."
ashveil,base_devour_o_loathsome_hand,Devour: O Loathsome Hand,base,Technique,Impair,0,0,0,0,0,1,"After using Technique, inflicts Daze on enemies within a set area for 10 second(s). Dazed enemies will not actively attack ally targets. When entering combat via actively attacking a Dazed enemy, deals Lightning DMG to all enemies equal to 100% of Ashveil's ATK, and grants Ashveil 1 Charge."
ashveil,base_banquet_insatiable_appetite,Banquet: Insatiable Appetite,base,Ultimate,Single ATK,5,0,90,0,0,15,"Makes one designated enemy become the ""Bait,"" dealing it Lightning DMG equal to 500% of Ashveil's ATK. Then, immediately launches 1 instance of enhanced Talent's Follow-Up ATK against the ""Bait."" And Ashveil gains 3 Charge. This enhanced Talent's Follow-Up ATK does not consume Charge. Whenever ""Gluttony"" reaches 4 stack(s) or more, consumes 4 stack(s) of ""Gluttony"" to additionally deal 1 instance of Lightning DMG equal to 250% of Ashveil's ATK. And when this instance of Follow-Up ATK deals a killing blow to the target, it will continue to deal DMG to a new ""Bait."" This triggers until ""Gluttony"" becomes lower than 4 stack(s). If all enemy targets currently on the field have been dealt killing blows, the enhanced Talent's Follow-Up ATK will immediately end."
asta,base_spectrum_beam,Spectrum Beam,base,Basic ATK,Single ATK,20,0,30,0,0,10,Deals Fire DMG equal to 140% of Asta's ATK to one designated enemy.
asta,base_meteor_storm,Meteor Storm,base,Skill,Bounce,6,1,30,0,0,15,"Deals Fire DMG equal to 62.5% of Asta's ATK to one designated enemy and further deals DMG for 4 extra times, with each time dealing Fire DMG equal to 62.5% of Asta's ATK to a random enemy."
asta,base_astrometry,Astrometry,base,Talent,Support,0,0,0,0,0,15,"Gains 1 stack of Charging for every different enemy hit by Asta plus an extra stack if the enemy hit has Fire Weakness. For every stack of Charging Asta has, all allies' ATK increases by 17.5%, up to 5 time(s). Starting from her second turn, Asta's Charging stack count is reduced by 3 at the beginning of every turn."
asta,base_miracle_flash,Miracle Flash,base,Technique,Maze ATK,0,0,60,0,0,1,"Immediately attacks the enemy. After entering battle, deals Fire DMG equal to 50% of Asta's ATK to all enemies."
asta,base_astral_blessing,Astral Blessing,base,Ultimate,Support,5,0,0,0,0,15,Increases SPD of all allies by 57 for 2 turn(s).
aventurine,base_straight_bet,Straight Bet,base,Basic ATK,Single ATK,20,0,30,0,0,10,Deals Imaginary DMG equal to 140% of Aventurine's DEF to one designated enemy target.
aventurine,base_cornerstone_deluxe,Cornerstone Deluxe,base,Skill,Defence,30,1,0,0,0,15,"Provides all allies with a Fortified Wager shield that can block DMG equal to 28% of Aventurine's DEF plus 410, lasting for 3 turn(s). When Fortified Wager is gained repeatedly, the Shield Effect can stack, up to 200% of the current Shield Effect provided by the Skill."
aventurine,base_shot_loaded_right,Shot Loaded Right,base,Talent,Bounce,1,0,10,0,0,15,"For any single ally with ""Fortified Wager,"" their Effect RES increases by 62.5%, and when they get attacked, Aventurine gains 1 point of ""Blind Bet."" When Aventurine has ""Fortified Wager,"" he can resist Crowd Control debuffs. This effect can trigger again after 2 turn(s). Aventurine additionally gains 1 point(s) of ""Blind Bet"" after getting attacked. Upon reaching 7 points of ""Blind Bet,"" Aventurine consumes the 7 points to launch a 7-hit Follow-Up ATK, with each hit dealing Imaginary DMG equal to 31.25% of Aventurine's DEF to one random enemy. ""Blind Bet"" is capped at 10 points."
aventurine,base_the_red_or_the_black,The Red or the Black,base,Technique,Defence,0,0,0,0,0,1,"After using the Technique, 1 of the following effects will be granted: There is a chance for DEF to increase by 24%. There is a high chance for DEF to increase by 36%. There is a small chance for DEF to increase by 60%.  When this Technique is used repeatedly, the acquired effect with the highest buff value is retained. When the next battle starts, increases all allies' DEF by the corresponding value, lasting for 3 turn(s)."
aventurine,base_roulette_shark,Roulette Shark,base,Ultimate,Single ATK,5,0,90,0,0,15,"Randomly gains 1 to 7 points of ""Blind Bet."" Then, inflicts ""Unnerved"" on one designated enemy target for 3 turn(s) and deals Imaginary DMG equal to 324% of Aventurine's DEF to that enemy target. When an ally hits an ""Unnerved"" enemy target, the CRIT DMG dealt increases by 18%."
bailu,base_diagnostic_kick,Diagnostic Kick,base,Basic ATK,Single ATK,20,0,30,0,0,10,Deals Lightning DMG equal to 140% of Bailu's ATK to one designated enemy.
bailu,base_singing_among_clouds,Singing Among Clouds,base,Skill,Restore,30,1,0,0,0,15,"Heals a single ally for 13.65% of Bailu's Max HP plus 399.75. Bailu then heals random allies 2 time(s). After each healing, HP restored from the next healing is reduced by 15%."
bailu,base_gourdful_of_elixir,Gourdful of Elixir,base,Talent,Restore,0,0,0,0,0,15,"After an ally target with Invigoration is hit, restores the ally's HP for 6.3% of Bailu's Max HP plus 184.5. This effect can trigger 2 time(s). When Bailu's teammate receives a killing blow, they will not be knocked down. Bailu immediately heals the ally for 21% of Bailu's Max HP plus 615 HP. This effect can be triggered 1 time per battle."
bailu,base_saunter_in_the_rain,Saunter in the Rain,base,Technique,Restore,0,0,0,0,0,1,"After Technique is used, at the start of the next battle, all allies are granted Invigoration for 2 turn(s)."
bailu,base_felicitous_thunderleap,Felicitous Thunderleap,base,Ultimate,Restore,5,0,0,0,0,15,"Heals all allies for 15.75% of Bailu's Max HP plus 461.25. Bailu applies Invigoration to allies that are not already Invigorated. For those already Invigorated, Bailu extends the duration of their Invigoration by 1 turn. The effect of Invigoration can last for 2 turn(s). This effect cannot stack."
black_swan,base_percipience_silent_dawn,"Percipience, Silent Dawn",base,Basic ATK,Single ATK,20,0,30,0,0,10,"Deals Wind DMG equal to 84% of Black Swan's ATK to one designated enemy target, with a 77% base chance of inflicting 1 stack of ""Arcana"" on the target. Additionally, when attacking a target that suffers Wind Shear, Bleed, Burn, or Shock, there is respectively a 77% base chance of inflicting 1 extra stack of ""Arcana"" on the target."
black_swan,base_decadence_false_twilight,"Decadence, False Twilight",base,Skill,Blast,30,1,60,0,30,15,"Deals Wind DMG equal to 112.5% of Black Swan's ATK to one designated enemy target and any adjacent targets. At the same time, there is a 100% base chance of inflicting 1 stack of ""Arcana"" on the target enemy and the adjacent targets. Additionally, there is a 100% base chance of reducing the DEF of the target enemy and the adjacent targets by 23.8%, lasting for 3 turn(s)."
black_swan,base_loom_of_fate_s_caprice,Loom of Fate's Caprice,base,Talent,Impair,0,0,0,0,0,15,"Every time an enemy target receives DoT at the start of each turn, there is a 72.5% base chance for it to be inflicted with 1 stack of Arcana. While afflicted with Arcana, enemy targets receive Wind DoT equal to 300% of Black Swan's ATK at the start of each turn. Each stack of Arcana increases this DMG multiplier by 15%. Then Arcana resets to 1 stack. Arcana can stack up to 50 times. Only when Arcana causes DMG at the start of an enemy target's turn, Black Swan triggers additional effects based on the number of Arcana stacks inflicted on the target: When there are 3 or more Arcana stacks, deals Wind DoT equal to 225% of Black Swan's ATK to adjacent targets, with a 72.5% base chance of inflicting 1 stack of Arcana on adjacent targets. When there are 7 or more Arcana stacks, enables the current DoT dealt this time to ignore 20% of the target's and adjacent targets' DEF."
black_swan,base_from_fa_ade_to_v_rit,From Façade to Vérité,base,Technique,Enhance,0,0,0,0,0,1,"After this Technique is used, there is a 150% base chance for each enemy to be inflicted with 1 stack of Arcana at the start of the next battle. For each successful application of Arcana on a target, inflicts another stack of Arcana on the same target. This process repeats until Arcana fails to be inflicted on this target. For each successive application of Arcana on a target, its base chance of success is equal to 50% of the base chance of the previous successful infliction of Arcana on that target."
black_swan,base_bliss_of_otherworld_s_embrace,Bliss of Otherworld's Embrace,base,Ultimate,AoE ATK,5,0,0,60,0,15,"Inflicts Epiphany on all enemies for 2 turn(s). While afflicted with Epiphany, enemies take 30% increased DMG in their turn. Additionally, if enemies are also inflicted with Arcana, they are also considered to be simultaneously afflicted with Wind Shear, Bleed, Burn, and Shock. After Arcana causes DMG at the start of each turn, its stacks are not reset. This non-reset effect of Arcana stacks can be triggered up to 1 time(s) for the duration of Epiphany. And the trigger count resets when Epiphany is applied again. Deals Wind DMG equal to 144% of Black Swan's ATK to all enemies."
blade,base_shard_sword,Shard Sword,base,Basic ATK,Single ATK,20,0,30,0,0,10,Deals 140% of Blade's ATK as Wind DMG to a target enemy.
blade,base_hellscape,Hellscape,base,Skill,Enhance,0,1,0,0,0,15,"Consumes HP equal to 30% of Blade's Max HP to enter the Hellscape state. When Hellscape is active, his Skill cannot be used, his DMG dealt increases by 54%, and his Basic ATK Shard Sword is enhanced to Forest of Swords for 3 turn(s). If Blade's current HP is insufficient, his HP will be reduced to 1 when he uses his Skill. This Skill does not regenerate Energy. Using this Skill does not end the current turn."
blade,base_shuhu_s_gift,Shuhu's Gift,base,Talent,AoE ATK,10,0,0,30,0,15,"When Blade sustains DMG or consumes his HP, he gains 1 stack of Charge, stacking up to 5 times. A max of 1 Charge stack can be gained every time he is attacked. When Charge stack reaches maximum, immediately launches a Follow-Up ATK on all enemies, dealing Wind DMG equal to 55% of Blade's ATK plus 137.5% of his Max HP. At the same time, restores Blade's HP by 25% of his Max HP. After the Follow-Up ATK, all Charges are consumed."
blade,base_karma_wind,Karma Wind,base,Technique,Maze ATK,0,0,60,0,0,1,"Immediately attacks the enemy. After entering combat, consumes 20% of Blade's Max HP while dealing Wind DMG equal to 40% of his Max HP to all enemies. If Blade's current HP is insufficient, his HP will be reduced to 1 when this Technique is used."
blade,base_death_sentence,Death Sentence,base,Ultimate,Blast,5,0,60,0,60,15,"Sets Blade's current HP to 50% of his Max HP and deals Wind DMG to one enemy equal to the sum of 48% of his ATK, 120% of his Max HP, and 120% of the tally of Blade's HP loss in the current battle. At the same time, deals Wind DMG to adjacent targets equal to the sum of 19.2% of his ATK, 48% of his Max HP, and 48% of the tally of his HP loss in the current battle. The tally of Blade's HP loss in the current battle is capped at 90% of his Max HP. This value will be reset and re-accumulated after his Ultimate has been used."
blade,enhanced_forest_of_swords,Forest of Swords,enhanced,Basic ATK,Blast,30,0,60,0,30,10,"Consumes HP equal to 10% of Blade's Max HP and deals Wind DMG equal to the sum of 56% of his ATK and 140% of his Max HP to one designated enemy. In addition, deals Wind DMG equal to the sum of 22.4% of Blade's ATK and 56% of his Max HP to adjacent targets. If Blade's current HP is insufficient, his HP will be reduced to 1 when using ""Forest of Swords."" ""Forest of Swords"" cannot regenerate Skill Points."
boothill,base_skullcrush_spurs,Skullcrush Spurs,base,Basic ATK,Single ATK,20,0,30,0,0,10,Deals Physical DMG equal to 140% of Boothill's ATK to one designated enemy target.
boothill,base_sizzlin_tango,Sizzlin' Tango,base,Skill,Impair,0,1,0,0,0,15,"Forces Boothill and one designated enemy target into the ""Standoff"" state. Boothill's Basic ATK gets Enhanced, and he cannot use his Skill, lasting for 2 turn(s). This duration decreases by 1 at the start of Boothill's every turn. The enemy target in the ""Standoff"" becomes Taunted. When this enemy target/Boothill gets attacked by the other party in the Standoff, the DMG they receive increases by 37.5%/15%. After this target is defeated or becomes Weakness Broken, Boothill gains 1 stack of ""Pocket Trickshot,"" then dispels the ""Standoff."" This Skill cannot regenerate Energy. After using this Skill, the current turn does not end."
boothill,base_five_peas_in_a_pod,Five Peas in a Pod,base,Talent,Enhance,0,0,0,0,0,15,"Each stack of Pocket Trickshot increases the Enhanced Basic Attack's Toughness Reduction by 50%, stacking up to 3 time(s). If the target is Weakness Broken while the Enhanced Basic ATK is being used, based on the number of Pocket Trickshot stacks, deals Break DMG to this target equal to 87.5%/150%/212.5% of Boothill's Physical Break DMG. The max Toughness taken into account for this DMG cannot exceed 16 times the base Toughness Reduction of the Basic Attack ""Skullcrush Spurs."" After winning the battle, Boothill can retain Pocket Trickshot for the next battle."
boothill,base_3_9_smile,3-9× Smile,base,Technique,Enhance,0,0,0,0,0,1,"After the Technique is used, when casting the Skill for the first time in the next battle, applies the same Physical Weakness to the target as the one induced by the Ultimate, lasting for 2 turn(s)."
boothill,base_dust_devil_s_sunset_rodeo,Dust Devil's Sunset Rodeo,base,Ultimate,Single ATK,5,0,90,0,0,15,"Applies Physical Weakness to one designated enemy target, lasting for 2 turn(s). Deals Physical DMG equal to 480% of Boothill's ATK to the target and delays their action by 45%."
boothill,enhanced_fanning_the_hammer,Fanning the Hammer,enhanced,Basic ATK,Single ATK,30,0,60,0,0,10,"Deals Physical DMG equal to 308% of Boothill's ATK to one designated enemy target. The Enhanced Basic Attack cannot recover Skill Points and can only target the enemy that is in the ""Standoff"" state."
bronya,base_windrider_bullet,Windrider Bullet,base,Basic ATK,Single ATK,20,0,30,0,0,10,Deals Wind DMG equal to 140% of Bronya's ATK to one designated enemy.
bronya,base_combat_redeployment,Combat Redeployment,base,Skill,Support,30,1,0,0,0,15,"Dispels a debuff from a single ally, allows them to immediately take action, and increases their DMG by 82.5% for 1 turn(s). When this Skill is used on Bronya herself, she cannot immediately take action again."
bronya,base_leading_the_way,Leading the Way,base,Talent,Enhance,5,0,30,0,0,15,"After using her Basic ATK, Bronya's next action will be Advanced Forward by 37.5%."
bronya,base_banner_of_command,Banner of Command,base,Technique,Support,0,0,0,0,0,1,"After using Bronya's Technique, at the start of the next battle, all allies' ATK increases by 15% for 2 turn(s)."
bronya,base_the_belobog_march,The Belobog March,base,Ultimate,Support,5,0,0,0,0,15,"Increases the ATK of all allies by 66%, and increases their CRIT DMG equal to 18% of Bronya's CRIT DMG plus 24% for 2 turn(s)."
castorice,base_lament_nethersea_s_ripple,"Lament, Nethersea's Ripple",base,Basic ATK,Single ATK,0,0,30,0,0,10,Deals Quantum DMG equal to 70% of Castorice's Max HP to one designated enemy.
castorice,base_silence_wraithfly_s_caress,"Silence, Wraithfly's Caress",base,Skill,Blast,0,0,60,0,30,15,"Consumes 30% of all allies' current HP. Deals Quantum DMG equal to 62.5% of Castorice's Max HP to one designated enemy and Quantum DMG equal to 37.5% of Castorice's Max HP to adjacent targets. If the current HP is insufficient, reduces the current HP down to 1. If Netherwing is on the battlefield, the Skill becomes ""Boneclaw, Doomdrake's Embrace"" instead."
castorice,base_desolation_across_palms,Desolation Across Palms,base,Talent,Enhance,0,0,0,0,0,15,"The maximum limit of ""Newbud"" is related to the levels of all characters on the battlefield. For every 1 point of HP lost by all allies, Castorice gains 1 point of ""Newbud."" When ""Newbud"" reaches its maximum limit, can activate the Ultimate. When allies lose HP, Castorice's and Netherwing's DMG dealt increases by 25%. This effect can stack up to 3 time(s), lasting for 3 turn(s). When Netherwing is on the field, ""Newbud"" cannot be gained through Talent, and every 1 point of HP lost by all allies (except Netherwing) will be converted to an equal amount of HP for Netherwing."
